summary,text
movie_to_writer_to_primaryProfession,What is the profession of the writer of Movie?
movie_to_writer_to_primaryProfession,What is the profession of the author of Movie?
movie_to_editor_to_primaryProfession,What is the profession of Movie editor?
movie_to_editor_to_primaryProfession,What is the profession of the editor of Movie?
movie_to_composer_to_primaryProfession,What is the profession of Movie composer?
movie_to_composer_to_primaryProfession,What is the profession of the composer of Movie?
movie_to_cinematographer_to_primaryProfession,What is the occupation of Movie photographer?
movie_to_cinematographer_to_primaryProfession,What is the profession of the photographer of Movie?
movie_to_production-designer_to_primaryProfession,What is the profession of Movie production designer?
movie_to_production-designer_to_primaryProfession,What is the profession of the production designer of Movie?
movie_to_actor_to_Height,What is the height of the Movie actor?
movie_to_actor_to_Height,What is the height of the actor of Movie?
movie_to_actor_to_Height,What is the height of the player in Movie?
movie_to_director_to_Height,What is the height of director Movie?
movie_to_director_to_Height,What is the height of the director of Movie?
movie_to_director_to_Height,What is the height of the guide of Movie?
movie_to_writer_to_Height,What is the height of the Movie writer?
movie_to_writer_to_Height,What is the height of the writer of Movie?
movie_to_writer_to_Height,What is the height of the author of Movie?
movie_to_editor_to_Height,What is the height of the Movie editor?
movie_to_editor_to_Height,What is the height of the editor of Movie?
movie_to_composer_to_Height,What is the height of Movie composer?
movie_to_composer_to_Height,What is the height of the composer of Movie?
movie_to_cinematographer_to_Height,What is the height of Movie's photographer?
movie_to_cinematographer_to_Height,What is the height of the photographer of Movie?
movie_to_production-designer_to_Height,What is the height of the production designer of Movie?
movie_to_production-designer_to_Height,What is the height of the production designer of Movie?
movie_to_actor_to_Born,What is the birthday of Movie actor?
movie_to_actor_to_Born,What is the birthday of the actor of Movie?
movie_to_actor_to_Born,What is the birthday of the player in Movie?
movie_to_director_to_Born,What is the birthday of director Movie?
movie_to_director_to_Born,What is the birthday of the director of Movie?
movie_to_director_to_Born,What is the birthday of the guide of Movie?
movie_to_writer_to_Born,What is the birthday of the Movie writer?
movie_to_writer_to_Born,What is the birthday of the writer of Movie?
movie_to_writer_to_Born,What is the birthday of the author of Movie?
movie_to_editor_to_Born,What is the birthday of Movie editor?
movie_to_editor_to_Born,What is the birthday of the editor of Movie?
movie_to_composer_to_Born,When is the birthday of Movie composer?
movie_to_composer_to_Born,What is the birthday of the composer of Movie?
movie_to_cinematographer_to_Born,What is the birthday of Movie photographer?
movie_to_cinematographer_to_Born,What is the birthday of the photographer of Movie?
movie_to_production-designer_to_Born,What is the birthday of Movie production designer?
movie_to_production-designer_to_Born,What is the birthday of the production designer of Movie?
movie_to_actor_to_Died,When is the death day of Movie actor?
movie_to_actor_to_Died,What is the deathday of the actor of Movie?
movie_to_actor_to_Died,What is the deathday of the player in Movie?
movie_to_director_to_Died,When is the death date of Movie supervisor?
movie_to_director_to_Died,What is the deathday of the director of Movie?
movie_to_director_to_Died,What is the deathday of the guide of Movie?
movie_to_writer_to_Died,When is the birthday of the Movie author?
movie_to_writer_to_Died,What is the deathday of the writer of Movie?
movie_to_writer_to_Died,What is the deathday of the author of Movie?
movie_to_editor_to_Died,When is the death date of the Movie editor?
movie_to_editor_to_Died,What is the deathday of the editor of Movie?
movie_to_composer_to_Died,When is the birthday of Movie composer?
movie_to_composer_to_Died,What is the deathday of the composer of Movie?
movie_to_cinematographer_to_Died,When is the birthday of Movie photographer?
movie_to_cinematographer_to_Died,What is the deathday of the photographer of Movie?
movie_to_production-designer_to_Died,When is the birthday of the production designer of Movie?
movie_to_production-designer_to_Died,What is the deathday of the production designer of Movie?
movie_to_actor_to_Nicknames,What is the nickname of Movie actor?
movie_to_actor_to_Nicknames,What is the nickname of the actor of Movie?
movie_to_actor_to_Nicknames,What is the nickname of the player in Movie?
movie_to_director_to_Nicknames,What is the nickname of Movie supervisor?
movie_to_director_to_Nicknames,What is the nickname of the director of Movie?
movie_to_director_to_Nicknames,What is the nickname of the guide of Movie?
movie_to_writer_to_Nicknames,What is the nickname of the Movie author?
movie_to_writer_to_Nicknames,What is the nickname of the writer of Movie?
movie_to_writer_to_Nicknames,What is the nickname of the author of Movie?
movie_to_editor_to_Nicknames,What is the nickname of Movie editor?
movie_to_editor_to_Nicknames,What is the nickname of the editor of Movie?
movie_to_composer_to_Nicknames,What is the nickname of Movie composer?
movie_to_composer_to_Nicknames,What is the nickname of the composer of Movie?
movie_to_cinematographer_to_Nicknames,What is the nickname of Movie photographer?
movie_to_cinematographer_to_Nicknames,What is the nickname of the photographer of Movie?
movie_to_production-designer_to_Nicknames,What is the nickname of the production designer of Movie?
movie_to_production-designer_to_Nicknames,What is the nickname of the production designer of Movie?
movie_to_actor_to_trivia,What are the trivia of Movie actor?
movie_to_actor_to_trivia,What is the trivia of the actor of Movie?
movie_to_actor_to_trivia,What is the trivia of the player in Movie?
movie_to_director_to_trivia,What is the trivia of director Movie?
movie_to_director_to_trivia,What is the trivia of the director of Movie?
movie_to_director_to_trivia,What is the trivia of the guide of Movie?
movie_to_writer_to_trivia,What is the trivia of the Movie author?
movie_to_writer_to_trivia,What is the trivia of the writer of Movie?
movie_to_writer_to_trivia,What is the trivia of the author of Movie?
movie_to_editor_to_trivia,What is the trivia of Movie editing?
movie_to_editor_to_trivia,What is the trivia of the editor of Movie?
movie_to_composer_to_trivia,What are the trivia of Movie composer?
movie_to_composer_to_trivia,What is the trivia of the composer of Movie?
movie_to_cinematographer_to_trivia,What are the trivia of Movie photographer?
movie_to_cinematographer_to_trivia,What is the trivia of the photographer of Movie?
movie_to_production-designer_to_trivia,What are the trivia of Movie production designer?
movie_to_production-designer_to_trivia,What is the trivia of the production designer of Movie?
movie_to_actor_to_trade-mark,What is the trademark of Movie actor?
movie_to_actor_to_trade-mark,What is the trade mark of the actor of Movie?
movie_to_actor_to_trade-mark,What is the trade mark of the player in Movie?
movie_to_director_to_trade-mark,What is the trademark of director Movie?
movie_to_director_to_trade-mark,What is the trade mark of the director of Movie?
movie_to_director_to_trade-mark,What is the trade mark of the guide of Movie?
movie_to_writer_to_trade-mark,What is the trademark of the Movie author?
movie_to_writer_to_trade-mark,What is the trade mark of the writer of Movie?
movie_to_writer_to_trade-mark,What is the trade mark of the author of Movie?
movie_to_editor_to_trade-mark,What is the trademark of Movie editor?
movie_to_editor_to_trade-mark,What is the trade mark of the editor of Movie?
movie_to_composer_to_trade-mark,What is the trademark of Movie composer?
movie_to_composer_to_trade-mark,What is the trade mark of the composer of Movie?
movie_to_cinematographer_to_trade-mark,What is the photographer's trademark Movie?
movie_to_cinematographer_to_trade-mark,What is the trade mark of the photographer of Movie?
movie_to_production-designer_to_trade-mark,What is the trademark of Movie's product designer?
movie_to_production-designer_to_trade-mark,What is the trade mark of the production designer of Movie?
actor_to_movie_to_DoubanRating,What is the score of the film starring Person?
actor_to_movie_to_DoubanRating,What is the rating of the movie acted by Person?
actor_to_movie_to_DoubanRating,What is the Douban rate of the movie acted by Person?
director_to_movie_to_DoubanRating,What is the rating of Person director's film?
director_to_movie_to_DoubanRating,What is the rating of the movie directed by Person?
director_to_movie_to_DoubanRating,What is the Douban rate of the movie directed by Person?
writer_to_movie_to_DoubanRating,What is the score of the film written by Person?
writer_to_movie_to_DoubanRating,What is the rating of the movie writed by Person?
writer_to_movie_to_DoubanRating,What is the Douban rate of the movie writed by Person?
editor_to_movie_to_DoubanRating,What's Person's score on the film?
editor_to_movie_to_DoubanRating,What is the rating of the movie ecited by Person?
editor_to_movie_to_DoubanRating,What is the Douban rate of the movie ecited by Person?
composer_to_movie_to_DoubanRating,What's the score of Person films?
composer_to_movie_to_DoubanRating,What is the rating of the movie composed by Person?
composer_to_movie_to_DoubanRating,What is the Douban rate of the movie composed by Person?
cinematographer_to_movie_to_DoubanRating,What is the score of the film made by Person?
cinematographer_to_movie_to_DoubanRating,What is the rating of the movie photographed by Person?
cinematographer_to_movie_to_DoubanRating,What is the Douban rate of the movie photographed by Person?
production-designer_to_movie_to_DoubanRating,What's the score of the film designed by Person?
production-designer_to_movie_to_DoubanRating,What is the rating of the movie designed by Person?
production-designer_to_movie_to_DoubanRating,What is the Douban rate of the movie designed by Person?
actor_to_movie_to_IMDBRating,What is the IMDB percentage of Person films?
actor_to_movie_to_IMDBRating,What is the IMDB rate of the movie acted by Person?
director_to_movie_to_IMDBRating,What is the IMDB release rate of Person director's films?
director_to_movie_to_IMDBRating,What is the IMDB rate of the movie directed by Person?
writer_to_movie_to_IMDBRating,What is the IMDB rate of Person writing movies?
